diagnosis,triage_color
gas gangrene,orange
gastritis,orange
gastroduodenal ulcer,orange
gastroesophageal reflux disease (gerd),orange
gastrointestinal hemorrhage,red
gastroparesis,orange
genital herpes,orange
gestational diabetes,orange
glaucoma,orange
glucocorticoid deficiency,orange
goiter,orange
gonorrhea,orange
gout,orange
granuloma inguinale,orange
graves disease,orange
guillain barre syndrome,orange
gum disease,orange
gynecomastia,orange
hammer toe,orange
hashimoto thyroiditis,orange
head and neck cancer,orange
head injury,orange
headache after lumbar puncture,green
heart attack,red
heart block,orange
heart contusion,orange
heart failure,orange
heat exhaustion,orange
heat stroke,red
hemangioma,orange
hemarthrosis,orange
hematoma,orange
hemiplegia,orange
hemochromatosis,orange
hemolytic anemia,orange
hemophilia,orange
hemorrhoids,green
hepatic encephalopathy,orange
hepatitis due to a toxin,orange
herniated disk,orange
herpangina,orange
hiatal hernia,orange
hidradenitis suppurativa,orange
high blood pressure,orange
hirschsprung disease,orange
hirsutism,orange
histoplasmosis,orange
hormone disorder,orange
hpv,orange
human immunodeficiency virus infection (hiv),orange
huntington disease,orange
hydatidiform mole,orange
hydrocele of the testicle,orange
hydrocephalus,orange
hydronephrosis,orange
hypercalcemia,orange
hypercholesterolemia,orange
hyperemesis gravidarum,orange
hypergammaglobulinemia,orange
hyperhidrosis,orange
hyperkalemia,orange
hyperlipidemia,orange
hypernatremia,orange
hyperopia,orange
hyperosmotic hyperketotic state,orange
hypertension of pregnancy,orange
hypertensive heart disease,orange
hypertrophic obstructive cardiomyopathy (hocm),orange
hypocalcemia,orange
hypoglycemia,red
hypokalemia,orange
hyponatremia,orange
hypothermia,orange
hypothyroidism,orange
hypovolemia,orange
idiopathic absence of menstruation,orange
idiopathic excessive menstruation,orange
idiopathic infrequent menstruation,orange
idiopathic irregular menstrual cycle,orange
idiopathic nonmenstrual bleeding,orange
idiopathic painful menstruation,orange
ileus,orange
impetigo,orange
impulse control disorder,orange
indigestion,orange
induced abortion,orange
infection of open wound,orange
infectious gastroenteritis,orange
ingrown toe nail,green
inguinal hernia,orange
injury of the ankle,orange
injury to internal organ,orange
injury to the abdomen,orange
injury to the arm,orange
injury to the face,orange
injury to the finger,orange
injury to the hand,orange
injury to the hip,orange
injury to the knee,orange
injury to the leg,orange
injury to the shoulder,orange
injury to the spinal cord,red
